ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_32307160-S	5.58e-01	5.00e-01	-0.674403	-667.978	-0.0179217	CUL1	cullin 1
GI_21536438-A	5.59e-01	5.01e-01	0.67313	-668.063	0.0272044	FBXL5	F-box and leucine rich repeat protein 5
GI_27477104-S	5.59e-01	5.01e-01	0.672912	-668.078	0.0587566	ACSBG1	acyl-CoA synthetase bubblegum family member 1
GI_17402870-A	5.60e-01	5.03e-01	0.671016	-668.204	0.0234073	BCCIP	BRCA2 and CDKN1A interacting protein
GI_42661554-S	5.60e-01	5.03e-01	-0.670695	-668.226	-0.0159866		
GI_17864089-S	5.61e-01	5.03e-01	0.67014	-668.262	0.0316732	AUTS2	autism susceptibility candidate 2
GI_4504522-S	5.61e-01	5.04e-01	-0.669036	-668.336	-0.0366474	HSPE1	heat shock protein family E (Hsp10) member 1
GI_31543982-S	5.62e-01	5.05e-01	0.667273	-668.453	0.0279086	ARFGAP2	ADP ribosylation factor GTPase activating protein 2
GI_14141180-S	5.64e-01	5.06e-01	0.665703	-668.556	0.0460067	FADS2	fatty acid desaturase 2
GI_37539711-S	5.64e-01	5.06e-01	0.665513	-668.569	0.0372472		
GI_38202216-A	5.64e-01	5.06e-01	0.665078	-668.598	0.025455	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
GI_31563525-S	5.64e-01	5.07e-01	0.664346	-668.646	0.0348917	SLC24A3	solute carrier family 24 member 3
GI_28376657-S	5.65e-01	5.07e-01	0.663745	-668.685	0.0626223	FAM126B	family with sequence similarity 126 member B
GI_32130535-S	5.65e-01	5.07e-01	0.663699	-668.688	0.0579014	CMTM8	CKLF like MARVEL transmembrane domain containing 8
GI_38016940-S	5.65e-01	5.08e-01	0.663083	-668.729	0.0720514	HSPB8	heat shock protein family B (small) member 8
GI_40316945-I	5.65e-01	5.08e-01	-0.662891	-668.742	-0.0500556	ADPRHL1	ADP-ribosylhydrolase like 1
GI_21361467-S	5.65e-01	5.08e-01	-0.662703	-668.754	-0.0450804	NOL11	nucleolar protein 11
GI_22041854-S	5.66e-01	5.09e-01	-0.661662	-668.822	-0.0584397	CAMTA1	calmodulin binding transcription activator 1
GI_42794609-S	5.67e-01	5.10e-01	0.65914	-668.987	0.0288984	RNH1	ribonuclease/angiogenin inhibitor 1
GI_23238227-S	5.68e-01	5.11e-01	0.657861	-669.071	0.0418132	CHST7	carbohydrate sulfotransferase 7
GI_8923762-S	5.69e-01	5.12e-01	0.656416	-669.165	0.0464143	ADAP2	ArfGAP with dual PH domains 2
GI_24429591-S	5.70e-01	5.13e-01	-0.654972	-669.259	-0.0437661	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2
GI_27414496-S	5.70e-01	5.13e-01	0.654904	-669.263	0.0283242	ZC3H7A	zinc finger CCCH-type containing 7A
GI_7661789-S	5.70e-01	5.13e-01	-0.654576	-669.285	-0.0225264	CCDC59	coiled-coil domain containing 59
GI_38045939-S	5.71e-01	5.13e-01	-0.654177	-669.311	-0.0298509	RNF31	ring finger protein 31
GI_39930470-S	5.71e-01	5.14e-01	0.654004	-669.322	0.0391108	METTL25	methyltransferase like 25
GI_14277673-S	5.71e-01	5.14e-01	0.653126	-669.379	0.0369546	LMCD1	LIM and cysteine rich domains 1
GI_31377745-S	5.72e-01	5.15e-01	-0.652068	-669.447	-0.0370124	EXD3	exonuclease 3'-5' domain containing 3
GI_4507150-S	5.72e-01	5.15e-01	0.652045	-669.449	0.0618288	SOD3	superoxide dismutase 3, extracellular
GI_17444700-S	5.72e-01	5.15e-01	-0.65126	-669.499	-0.0854001		
GI_33636770-I	5.73e-01	5.16e-01	0.650596	-669.542	0.0799842	MOBP	myelin-associated oligodendrocyte basic protein
GI_13123771-S	5.73e-01	5.16e-01	0.64968	-669.601	0.0189384	CNOT10	CCR4-NOT transcription complex subunit 10
GI_29570796-S	5.74e-01	5.17e-01	0.648406	-669.683	0.0304749	PPARGC1A	PPARG coactivator 1 alpha
GI_4502856-S	5.75e-01	5.18e-01	0.647305	-669.754	0.029495	CKS1B	CDC28 protein kinase regulatory subunit 1B
GI_22035685-S	5.75e-01	5.18e-01	0.64688	-669.781	0.0361745	FZD3	frizzled class receptor 3
GI_37541013-S	5.75e-01	5.18e-01	0.646817	-669.785	0.040687	TMEM179B	transmembrane protein 179B
GI_37595540-A	5.75e-01	5.18e-01	0.646768	-669.789	0.0308938	TRIM69	tripartite motif containing 69
GI_29789400-S	5.75e-01	5.18e-01	-0.646345	-669.816	-0.0494516	UBE2Q2	ubiquitin conjugating enzyme E2 Q2
GI_34222259-S	5.76e-01	5.20e-01	-0.644618	-669.926	-0.0260407	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit
GI_19923789-S	5.78e-01	5.21e-01	-0.642559	-670.058	-0.018653	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2
GI_20149650-S	5.78e-01	5.21e-01	0.642296	-670.074	0.0231199	WDR70	WD repeat domain 70
GI_18105029-A	5.78e-01	5.22e-01	-0.641525	-670.124	-0.0299053		
GI_33386700-S	5.79e-01	5.22e-01	-0.640516	-670.188	-0.0298183		
GI_34147537-S	5.79e-01	5.23e-01	-0.640068	-670.216	-0.051844	SDSL	serine dehydratase like
GI_31340578-S	5.80e-01	5.23e-01	-0.639413	-670.258	-0.0422155	IQCG	IQ motif containing G
GI_8923753-S	5.80e-01	5.23e-01	-0.6394	-670.258	-0.0464897	STK32B	serine/threonine kinase 32B
GI_24371259-S	5.80e-01	5.23e-01	-0.639365	-670.261	-0.0406863	FNDC5	fibronectin type III domain containing 5
GI_17105397-I	5.80e-01	5.23e-01	0.638811	-670.296	0.041176	WDR1	WD repeat domain 1
GI_4557832-S	5.81e-01	5.25e-01	0.636744	-670.427	0.0233735	PCCA	propionyl-CoA carboxylase alpha subunit
GI_4505408-S	5.82e-01	5.25e-01	-0.636232	-670.459	-0.0330502	NME2	NME/NM23 nucleoside diphosphate kinase 2
GI_17149850-S	5.82e-01	5.25e-01	0.635574	-6.705	0.0445678	FKBP8	FK506 binding protein 8
GI_16554581-S	5.82e-01	5.26e-01	-0.635483	-670.506	-0.0663775	COL5A3	collagen type V alpha 3 chain
GI_33519429-A	5.82e-01	5.26e-01	-0.635401	-670.511	-0.0241613	TXNRD1	thioredoxin reductase 1
GI_14790127-A	5.82e-01	5.26e-01	0.634939	-67.054	0.0183751	CASP9	caspase 9
GI_32698760-S	5.84e-01	5.27e-01	-0.632842	-670.672	-0.0563481	ZNF528	zinc finger protein 528
GI_40789088-S	5.84e-01	5.28e-01	0.632294	-670.707	0.0220975	NTAN1	N-terminal asparagine amidase
GI_21687047-S	5.84e-01	5.28e-01	-0.632003	-670.725	-0.0455242	WDR31	WD repeat domain 31
GI_21166374-S	5.85e-01	5.29e-01	-0.630864	-670.796	-0.0323267	TAF10	TATA-box binding protein associated factor 10
GI_21361826-S	5.85e-01	5.29e-01	-0.630705	-670.806	-0.0302697	METTL3	methyltransferase like 3
GI_21314723-S	5.85e-01	5.29e-01	-0.630603	-670.812	-0.0298932	CSPP1	centrosome and spindle pole associated protein 1
GI_18765691-S	5.86e-01	5.30e-01	0.628377	-670.951	0.051513	LAMC3	laminin subunit gamma 3
GI_14591907-S	5.87e-01	5.30e-01	0.628011	-670.974	0.032296	RPL23	ribosomal protein L23
GI_34222172-S	5.88e-01	5.32e-01	0.625675	-67.112	0.0423667	WDR66	WD repeat domain 66
GI_7706762-S	5.89e-01	5.32e-01	0.624874	-671.169	0.042364	VILL	villin like
GI_21361652-S	5.89e-01	5.33e-01	0.624782	-671.175	0.0339245	SPDL1	spindle apparatus coiled-coil protein 1
GI_34222313-S	5.89e-01	5.33e-01	0.62402	-671.222	0.0308222	PRPF19	pre-mRNA processing factor 19
GI_20336197-A	5.89e-01	5.33e-01	0.623941	-671.227	0.0222467	AKAP7	A-kinase anchoring protein 7
GI_12408664-A	5.90e-01	5.34e-01	-0.622713	-671.303	-0.0637138	MAL	mal, T-cell differentiation protein
GI_4503022-S	5.91e-01	5.34e-01	-0.62175	-671.362	-0.0352925	CPT2	carnitine palmitoyltransferase 2
GI_42656629-S	5.92e-01	5.36e-01	0.6196	-671.495	0.0835079		
GI_10863874-S	5.92e-01	5.36e-01	0.619208	-671.519	0.0239409	RPL41	ribosomal protein L41
GI_45243513-A	5.93e-01	5.37e-01	0.618561	-671.558	0.036943	ABCB9	ATP binding cassette subfamily B member 9
GI_14149984-S	5.93e-01	5.37e-01	0.618451	-671.565	0.0440792	TBC1D3F	TBC1 domain family member 3F
GI_21361089-S	5.93e-01	5.37e-01	0.617968	-671.595	0.0399808	SCN2B	sodium voltage-gated channel beta subunit 2
GI_42658173-S	5.93e-01	5.37e-01	0.617875	-6.716	0.0405887	SUN1	Sad1 and UNC84 domain containing 1
GI_7706136-S	5.93e-01	5.38e-01	0.616956	-671.657	0.0342806	FAM13B	family with sequence similarity 13 member B
GI_28416426-I	5.95e-01	5.39e-01	0.615281	-671.759	0.0325222	ZNF655	zinc finger protein 655
GI_40788016-S	5.96e-01	5.40e-01	-0.613806	-671.849	-0.0348469	TRIB1	tribbles pseudokinase 1
GI_33563375-S	5.96e-01	5.40e-01	0.613177	-671.887	0.0509756	TBC1D16	TBC1 domain family member 16
GI_4505930-S	5.96e-01	5.40e-01	0.612908	-671.904	0.0561845	POLB	DNA polymerase beta
GI_8400714-A	5.96e-01	5.40e-01	0.612665	-671.918	0.0389973	MAPT	microtubule associated protein tau
GI_11119427-S	5.97e-01	5.41e-01	0.61217	-671.948	0.0242729	AVPI1	arginine vasopressin induced 1
GI_22027485-S	5.97e-01	5.41e-01	-0.611364	-671.997	-0.0462226	RASD2	RASD family member 2
GI_24307898-S	5.98e-01	5.42e-01	-0.610339	-67.206	-0.026911	ERAL1	Era like 12S mitochondrial rRNA chaperone 1
GI_34147466-S	5.98e-01	5.42e-01	0.609843	-67.209	0.044868	TMEM54	transmembrane protein 54
GI_37552330-S	5.98e-01	5.43e-01	0.609502	-67.211	0.0416406		
GI_22212935-A	5.98e-01	5.43e-01	0.609315	-672.121	0.0217091		
GI_37540877-S	6.00e-01	5.45e-01	0.606176	-672.311	0.0535551	GLCE	glucuronic acid epimerase
GI_30581144-A	6.01e-01	5.45e-01	0.605602	-672.345	0.0165905		
GI_20302149-S	6.01e-01	5.46e-01	0.604617	-672.404	0.0322642	LYPLA2	lysophospholipase II
GI_8923103-S	6.01e-01	5.46e-01	0.604596	-672.406	0.0302654	ANKRD10	ankyrin repeat domain 10
GI_23111010-I	6.02e-01	5.46e-01	0.603617	-672.464	0.0243296		
GI_37551979-S	6.02e-01	5.47e-01	0.603476	-672.473	0.0275323	LMTK3	lemur tyrosine kinase 3
GI_41055988-S	6.02e-01	5.47e-01	0.602639	-672.523	0.0207252	MPHOSPH8	M-phase phosphoprotein 8
GI_37556116-S	6.02e-01	5.47e-01	-0.602581	-672.526	-0.0362175	DDHD2	DDHD domain containing 2
GI_7706124-S	6.04e-01	5.49e-01	0.599792	-672.692	0.0164551	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1
GI_27894369-S	6.05e-01	5.50e-01	0.598918	-672.744	0.0496139	NOTCH4	notch 4
GI_5453548-S	6.06e-01	5.50e-01	0.597761	-672.813	0.0251619	PRDX4	peroxiredoxin 4
GI_21269874-A	6.06e-01	5.51e-01	-0.597447	-672.832	-0.0199496	CARS	cysteinyl-tRNA synthetase
GI_20631983-S	6.07e-01	5.51e-01	0.59646	-67.289	0.0202106	NELFE	negative elongation factor complex member E
GI_21735551-S	6.07e-01	5.52e-01	0.595503	-672.947	0.0290409	MAP3K12	mitogen-activated protein kinase kinase kinase 12
GI_22748692-S	6.07e-01	5.52e-01	0.59536	-672.955	0.040252	ARL14EP	ADP ribosylation factor like GTPase 14 effector protein
GI_4502598-S	6.07e-01	5.52e-01	-0.595194	-672.965	-0.0404525	CBR1	carbonyl reductase 1
GI_7705589-S	6.08e-01	5.53e-01	0.594531	-673.004	0.0398218	TPRKB	TP53RK binding protein
GI_24308052-S	6.08e-01	5.53e-01	-0.594365	-673.014	-0.0453944	SUMF2	sulfatase modifying factor 2
GI_13430847-S	6.08e-01	5.53e-01	-0.594347	-673.015	-0.0358129	NR1D1	nuclear receptor subfamily 1 group D member 1
GI_33187364-S	6.09e-01	5.54e-01	-0.592738	-67.311	-0.0464013	EIF5A2	eukaryotic translation initiation factor 5A2
GI_14110370-S	6.09e-01	5.54e-01	-0.592364	-673.132	-0.0205324	CDC16	cell division cycle 16
GI_34878803-S	6.09e-01	5.54e-01	0.591867	-673.161	0.0232677	RNF26	ring finger protein 26
GI_34222332-S	6.10e-01	5.55e-01	-0.590687	-67.323	-0.0351785	TMEM248	transmembrane protein 248
GI_4759039-S	6.10e-01	5.55e-01	-0.590536	-673.239	-0.053045	RIN1	Ras and Rab interactor 1
GI_31083295-S	6.10e-01	5.55e-01	-0.590237	-673.256	-0.0444604	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon
GI_4505314-S	6.11e-01	5.56e-01	-0.589504	-673.299	-0.0315906	MYOM2	myomesin 2
GI_26667176-S	6.11e-01	5.56e-01	-0.589484	-6.733	-0.0254274	MRPL46	mitochondrial ribosomal protein L46
GI_26986533-S	6.11e-01	5.56e-01	-0.589338	-673.309	-0.0300536	ARHGAP12	Rho GTPase activating protein 12
GI_44955928-S	6.13e-01	5.58e-01	0.586365	-673.482	0.0170762	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
GI_37539180-S	6.13e-01	5.58e-01	-0.585654	-673.524	-0.0509774		
GI_17978510-A	6.13e-01	5.59e-01	0.585121	-673.555	0.0204667	PUF60	poly(U) binding splicing factor 60
GI_40255162-S	6.13e-01	5.59e-01	-0.585082	-673.557	-0.0282442	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)
GI_14150136-S	6.14e-01	5.60e-01	0.583751	-673.634	0.0337418	NUDT22	nudix hydrolase 22
GI_34147385-S	6.14e-01	5.60e-01	0.583632	-673.641	0.0454266	NUP85	nucleoporin 85
GI_14149689-S	6.14e-01	5.60e-01	-0.583588	-673.643	-0.034084	THUMPD3	THUMP domain containing 3
GI_37540435-S	6.14e-01	5.60e-01	-0.583501	-673.649	-0.0375052		
GI_7657133-S	6.14e-01	5.60e-01	0.583167	-673.668	0.023993	GNPAT	glyceronephosphate O-acyltransferase
GI_28875781-S	6.16e-01	5.61e-01	0.58118	-673.783	0.0325778	GPBP1	GC-rich promoter binding protein 1
GI_37540261-S	6.16e-01	5.62e-01	-0.580886	-6.738	-0.0988872		
GI_7657312-S	6.17e-01	5.62e-01	-0.57998	-673.852	-0.0182732	LSM1	LSM1 homolog, mRNA degradation associated
GI_33356175-S	6.17e-01	5.62e-01	-0.579838	-67.386	-0.0272352	SATB1	SATB homeobox 1
GI_27498465-S	6.17e-01	5.63e-01	0.578538	-673.935	0.0376154		
GI_4755136-S	6.18e-01	5.64e-01	0.578151	-673.957	0.0708007	GJA1	gap junction protein alpha 1
GI_37550538-S	6.18e-01	5.64e-01	0.578142	-673.957	0.0300813		
GI_4504606-S	6.18e-01	5.64e-01	0.577	-674.023	0.0463447	IFRD1	interferon related developmental regulator 1
GI_31541940-S	6.18e-01	5.64e-01	-0.576752	-674.037	-0.0465459	HSPA4L	heat shock protein family A (Hsp70) member 4 like
GI_42660071-S	6.19e-01	5.65e-01	-0.576566	-674.048	-0.03256	IQSEC3	IQ motif and Sec7 domain 3
GI_4505836-S	6.19e-01	5.65e-01	-0.576125	-674.073	-0.0359957		
GI_7661669-S	6.19e-01	5.66e-01	-0.575204	-674.125	-0.0485827	SH3YL1	SH3 and SYLF domain containing 1
GI_33466360-S	6.21e-01	5.67e-01	0.573005	-674.251	0.0244598	ARFRP1	ADP ribosylation factor related protein 1
GI_30794471-S	6.21e-01	5.67e-01	0.572636	-674.272	0.0607513	HAPLN4	hyaluronan and proteoglycan link protein 4
GI_33859832-S	6.21e-01	5.67e-01	0.572449	-674.282	0.0276515	TM9SF3	transmembrane 9 superfamily member 3
GI_25777605-A	6.21e-01	5.68e-01	0.572156	-674.299	0.0328401		
GI_18201901-S	6.22e-01	5.68e-01	0.571799	-674.319	0.0223502	HARS2	histidyl-tRNA synthetase 2, mitochondrial
GI_41281484-S	6.22e-01	5.68e-01	0.571591	-674.331	0.0230824	KIAA0141	KIAA0141
GI_4885424-A	6.22e-01	5.68e-01	-0.571456	-674.339	-0.0345764	HRAS	HRas proto-oncogene, GTPase
GI_21614503-I	6.22e-01	5.68e-01	0.571314	-674.347	0.0324469	DEGS1	delta 4-desaturase, sphingolipid 1
GI_21314730-S	6.24e-01	5.70e-01	0.568541	-674.503	0.0518814	TSEN2	tRNA splicing endonuclease subunit 2
GI_21359903-S	6.24e-01	5.70e-01	-0.567878	-674.541	-0.0361744	TFE3	transcription factor binding to IGHM enhancer 3
GI_4506580-S	6.24e-01	5.71e-01	0.567618	-674.555	0.0562941	RPGR	retinitis pigmentosa GTPase regulator
GI_34147584-S	6.25e-01	5.72e-01	0.566075	-674.642	0.0167632	DMAP1	DNA methyltransferase 1 associated protein 1
GI_17402918-A	6.25e-01	5.72e-01	-0.565906	-674.652	-0.0333583	WNT5B	Wnt family member 5B
GI_24307960-S	6.26e-01	5.72e-01	-0.565275	-674.687	-0.012952	TTI1	TELO2 interacting protein 1
GI_21361367-S	6.26e-01	5.72e-01	-0.564922	-674.707	-0.0215041	ALDH18A1	aldehyde dehydrogenase 18 family member A1
GI_39780570-S	6.26e-01	5.73e-01	-0.564247	-674.745	-0.0200024	MSTO1	misato 1, mitochondrial distribution and morphology regulator
GI_40548406-A	6.27e-01	5.73e-01	-0.563464	-674.788	-0.0244448	CCAR2	cell cycle and apoptosis regulator 2
GI_4759059-I	6.27e-01	5.74e-01	-0.563195	-674.803	-0.0275295	ZFYVE9	zinc finger FYVE-type containing 9
GI_22748978-S	6.28e-01	5.75e-01	-0.561819	-67.488	-0.0264786	TMEM199	transmembrane protein 199
GI_38348363-S	6.29e-01	5.76e-01	-0.56005	-674.979	-0.0217332	MXRA7	matrix remodeling associated 7
GI_7706275-A	6.30e-01	5.76e-01	-0.559018	-675.036	-0.0446542	TPPP3	tubulin polymerization promoting protein family member 3
GI_20149554-S	6.31e-01	5.77e-01	0.557768	-675.105	0.0511446	SERPINB1	serpin family B member 1
GI_24119167-A	6.31e-01	5.78e-01	0.556991	-675.148	0.0226214		
GI_31543362-S	6.31e-01	5.78e-01	-0.556673	-675.166	-0.0293286	OVGP1	oviductal glycoprotein 1
GI_25014098-S	6.31e-01	5.78e-01	0.556321	-675.185	0.0249326	SELK	selenoprotein K
GI_21536450-A	6.32e-01	5.79e-01	0.555862	-67.521	0.0217848	PHF1	PHD finger protein 1
GI_21314649-S	6.32e-01	5.79e-01	0.555308	-675.241	0.0413566	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
GI_9994186-S	6.33e-01	5.80e-01	-0.554097	-675.308	-0.0479739	PDGFC	platelet derived growth factor C
GI_39725633-S	6.33e-01	5.80e-01	0.553328	-67.535	0.0210367	LARP1	La ribonucleoprotein domain family member 1
GI_25286702-S	6.33e-01	5.81e-01	0.553015	-675.367	0.0248575	KIAA2013	KIAA2013
GI_23308520-S	6.34e-01	5.81e-01	-0.552801	-675.379	-0.0264873	PLXNA2	plexin A2
GI_22035608-A	6.34e-01	5.81e-01	0.552585	-675.391	0.0312555	OSBPL5	oxysterol binding protein like 5
GI_7661831-S	6.34e-01	5.81e-01	0.552115	-675.416	0.0160153	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
GI_5016088-S	6.34e-01	5.82e-01	0.551522	-675.449	0.0184183	ACTB	actin beta
GI_38146093-S	6.34e-01	5.82e-01	0.551064	-675.474	0.0320588	MED16	mediator complex subunit 16
GI_21361599-S	6.35e-01	5.82e-01	0.55072	-675.493	0.0348069	SLC37A1	solute carrier family 37 member 1
GI_14702170-I	6.36e-01	5.84e-01	0.5485	-675.614	0.0278139	POLR2C	RNA polymerase II subunit C
GI_13386487-S	6.36e-01	5.84e-01	0.548468	-675.615	0.0206297	CPTP	ceramide-1-phosphate transfer protein
GI_29743268-S	6.37e-01	5.85e-01	-0.547291	-675.679	-0.0190002		
GI_34147693-S	6.37e-01	5.85e-01	0.546726	-67.571	0.068496	ELMOD3	ELMO domain containing 3
GI_4503518-S	6.38e-01	5.85e-01	-0.546283	-675.734	-0.0159212	EIF3F	eukaryotic translation initiation factor 3 subunit F
GI_34222351-S	6.38e-01	5.86e-01	0.545826	-675.759	0.016119	TMEM183A	transmembrane protein 183A
GI_31542755-S	6.39e-01	5.86e-01	0.544623	-675.824	0.0329574	PAQR4	progestin and adipoQ receptor family member 4
GI_7705267-S	6.39e-01	5.87e-01	-0.544393	-675.836	-0.0168352	FAM8A1	family with sequence similarity 8 member A1
GI_7657580-S	6.39e-01	5.87e-01	0.543769	-67.587	0.0454616	SLC25A13	solute carrier family 25 member 13
GI_32171183-A	6.39e-01	5.87e-01	-0.543327	-675.894	-0.0304704	CCNY	cyclin Y
GI_31415881-S	6.40e-01	5.88e-01	-0.542395	-675.944	-0.0229163	EXOSC8	exosome component 8
GI_31377542-S	6.40e-01	5.88e-01	-0.542118	-675.959	-0.0333388	FAM177A1	family with sequence similarity 177 member A1
GI_9951924-S	6.40e-01	5.88e-01	0.541769	-675.978	0.0691808	CA12	carbonic anhydrase 12
GI_23110956-A	6.40e-01	5.88e-01	-0.541538	-67.599	-0.0466518		
GI_4557720-S	6.41e-01	5.89e-01	0.540783	-676.031	0.0343339	LIPA	lipase A, lysosomal acid type
GI_34098964-S	6.41e-01	5.89e-01	0.540697	-676.035	0.0491791	LY96	lymphocyte antigen 96
GI_4504494-S	6.42e-01	5.90e-01	0.538733	-67.614	0.0165183	PRMT2	protein arginine methyltransferase 2
GI_31543536-S	6.42e-01	5.91e-01	0.538538	-676.151	0.0390415	RAB34	RAB34, member RAS oncogene family
GI_42476161-S	6.42e-01	5.91e-01	0.538406	-676.158	0.0499041	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
GI_37539232-S	6.43e-01	5.91e-01	-0.537395	-676.212	-0.0340072		
GI_38683866-S	6.43e-01	5.91e-01	-0.537224	-676.221	-0.0285046	RPL36A	ribosomal protein L36a
GI_38201691-S	6.43e-01	5.92e-01	-0.536745	-676.246	-0.0174215	RASA3	RAS p21 protein activator 3
GI_6912653-S	6.44e-01	5.92e-01	0.536161	-676.278	0.0277338	SF3B1	splicing factor 3b subunit 1
GI_42476063-S	6.46e-01	5.94e-01	-0.533488	-676.419	-0.0456207	NKAIN4	Na+/K+ transporting ATPase interacting 4
GI_4503794-S	6.47e-01	5.96e-01	-0.531143	-676.543	-0.0567939	FTH1	ferritin heavy chain 1
GI_12232384-S	6.48e-01	5.96e-01	-0.530627	-67.657	-0.0154947	COPS7B	COP9 signalosome subunit 7B
GI_22265328-S	6.48e-01	5.96e-01	-0.530461	-676.579	-0.0388371	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
GI_7705756-S	6.48e-01	5.96e-01	0.530089	-676.599	0.0184549		
GI_37620180-S	6.48e-01	5.97e-01	-0.529146	-676.648	-0.0376055	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
GI_37059754-S	6.48e-01	5.97e-01	-0.529011	-676.655	-0.0366383	CTU1	cytosolic thiouridylase subunit 1
GI_4506116-S	6.49e-01	5.98e-01	-0.52764	-676.727	-0.0433421	PROS1	protein S (alpha)
GI_4503348-S	6.49e-01	5.98e-01	0.527586	-67.673	0.028572	DNASE2	deoxyribonuclease 2, lysosomal
GI_4885642-S	6.50e-01	5.98e-01	0.52714	-676.753	0.0381898	TP53BP2	tumor protein p53 binding protein 2
GI_18490979-A	6.51e-01	6.00e-01	0.525573	-676.835	0.018749		
GI_8923465-S	6.51e-01	6.00e-01	0.525428	-676.843	0.0243809	TMEM127	transmembrane protein 127
GI_15011942-S	6.51e-01	6.00e-01	-0.524763	-676.877	-0.050497	TRIM2	tripartite motif containing 2
GI_37538348-S	6.52e-01	6.01e-01	0.523843	-676.925	0.0357427		
GI_38327633-S	6.52e-01	6.01e-01	-0.523567	-67.694	-0.01833	DDX18	DEAD-box helicase 18
GI_37577150-S	6.52e-01	6.01e-01	0.523037	-676.967	0.0276591	SPEG	SPEG complex locus
GI_19923441-S	6.53e-01	6.02e-01	-0.522384	-677.001	-0.0302696	TMED5	transmembrane p24 trafficking protein 5
GI_13259538-S	6.53e-01	6.02e-01	-0.522104	-677.016	-0.0314105	MSRA	methionine sulfoxide reductase A
GI_22095357-S	6.53e-01	6.03e-01	0.521048	-67.707	0.0309826	C12orf4	chromosome 12 open reading frame 4
GI_37539535-S	6.54e-01	6.03e-01	0.520886	-677.079	0.016257	CAMSAP1	calmodulin regulated spectrin associated protein 1
GI_7662017-S	6.54e-01	6.03e-01	0.520306	-677.108	0.0389236	PHF3	PHD finger protein 3
GI_13569857-S	6.54e-01	6.03e-01	-0.519838	-677.133	-0.0333403	ZNF696	zinc finger protein 696
GI_37540661-S	6.54e-01	6.04e-01	0.519713	-677.139	0.0477097		
GI_21735557-A	6.54e-01	6.04e-01	0.519518	-677.149	0.062824	TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
GI_34222095-S	6.55e-01	6.05e-01	0.517874	-677.234	0.0213827	UBXN4	UBX domain protein 4
GI_7669474-A	6.55e-01	6.05e-01	-0.517642	-677.246	-0.0151759	ADAR	adenosine deaminase, RNA specific
GI_42661865-S	6.56e-01	6.06e-01	-0.516482	-677.305	-0.0426625		
GI_13236578-S	6.56e-01	6.06e-01	-0.516214	-677.319	-0.0282035	SLC27A3	solute carrier family 27 member 3
GI_4758875-S	6.56e-01	6.06e-01	0.516196	-67.732	0.0301248	PABPN1	poly(A) binding protein nuclear 1
GI_27262621-S	6.56e-01	6.06e-01	-0.516049	-677.327	-0.0355984	NAV1	neuron navigator 1
GI_24307878-S	6.57e-01	6.07e-01	-0.515302	-677.366	-0.0200261	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2
